Company Name,Price,Rating,Subindustry,Subsubindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,Region,Location 1
Starbucks,1,2.5,Coffee,N/A,156 W 52nd St,(212) 581-6410,,1,10019,40.762027,-73.981622,5,4,131,"1,023,157","1,010,040,020",Midtown-Midtown South                                                      ,"156 W 52nd St(40.762027, -73.981622)"
The Library @ Paramount Hotel,3,3.5,Full Serve,American,235 W 46th St,212 827-4183,www.paramountNewYork.solmelia.com,1,10036,40.759132,-73.986348,5,3,125,"1,024,737","1,010,180,006",Midtown-Midtown South                                                      ,"235 W 46th St(40.759132, -73.986348)"
46 Bar (Paramount Hotel),3,4,Bar / Lounge,N/A,235 W 46th St,(212) 764-5500,http://www.nycparamount.com/,1,10036,40.759132,-73.986348,5,3,125,"1,024,737","1,010,180,006",Midtown-Midtown South                                                      ,"235 W 46th St(40.759132, -73.986348)"
Victor's Cafe,3,4,Caf_ / Deli,N/A,236 W 52nd St,(212) 586-7714 ,www.victorscafe.com,1,10019,40.762968,-73.983853,5,3,131,"1,080,858","1,010,230,051",Midtown-Midtown South                                                      ,"236 W 52nd St(40.762968, -73.983853)"
Auntie Anne's,1,3,Quick Serve,Fast Food,664 Eighth Ave,2127641542,www.auntieannes.com,1,10036,40.757436,-73.989633,5,3,119,"1,087,142","1,010,140,001",Midtown-Midtown South                                                      ,"664 Eighth Ave(40.757436, -73.989633)"
B.B. King Blues Club & Grill,2,3,Full Serve,American,237 W 42nd St,2129974144,www.bbkingblues.com,1,10036,40.756785,-73.988702,5,3,119,"1,087,142","1,010,140,001",Midtown-Midtown South                                                      ,"237 W 42nd St(40.756785, -73.988702)"
Cold Stone Creamery/ Tim Horton's,2,3,Quick Serve,Dessert,243 W 42nd St,2123981882,www.coldstonecreamery.com,1,10036,40.756821,-73.988789,5,3,119,"1,087,142","1,010,140,001",Midtown-Midtown South                                                      ,"243 W 42nd St(40.756821, -73.988789)"
Dallas BBQ,2,3,Full Serve,Barbecue,27 West 72nd Street,2128732004,,1,10023,40.776988,-73.977766,7,6,157,"1,087,511","1,011,257,502",Lincoln Square                                                             ,"27 West 72nd Street(40.776988, -73.977766)"
Starbucks,1,2.5,Coffee,N/A,251 W 42nd St,2123981982,www.starbucks.com,1,10036,40.756867,-73.988901,5,3,119,"1,087,142","1,010,140,001",Midtown-Midtown South                                                      ,"251 W 42nd St(40.756867, -73.988901)"
Pongsri Thai Restaurant,2,3.5,Full Serve,Thai,244 W 48th St,2125823392,,1,10036,40.76052,-73.985817,5,3,125,"1,024,765","1,010,190,059",Midtown-Midtown South                                                      ,"244 W 48th St(40.76052, -73.985817)"
Lillie's Victorian Establishment,2,4,Full Serve,Italian,249 W 48th St,,,1,10036,40.76057,-73.98589,5,3,125,,,Midtown-Midtown South                                                      ,"249 W 48th St(40.76057, -73.98589)"
Lucky Star Cafe,1,3.5,Full Serve,American,250 W 43rd St,(201) 838-9269,,1,10036,40.757309,-73.987901,5,3,119,"1,085,096","1,010,140,055",Midtown-Midtown South                                                      ,"250 W 43rd St(40.757309, -73.987901)"
Shula's Steakhouse,3,3.5,Full Serve,Steakhouse,250 W 43rd St,2122012776,http://www.donshula.com,1,10036,40.757309,-73.987901,5,3,119,"1,085,096","1,010,140,055",Midtown-Midtown South                                                      ,"250 W 43rd St(40.757309, -73.987901)"
Scarlatto,2,3.5,Full Serve,Italian,250 W 47th St,212 730-4535,scarlattonyc.com,1,10036,40.759892,-73.986276,5,3,125,"1,024,744","1,010,180,054",Midtown-Midtown South                                                      ,"250 W 47th St(40.759892, -73.986276)"
Toloache,3,4,Full Serve,Mexican,251 W 50th St,(212) 581-1818 ,www.toloachenyc.com,1,10019,40.761851,-73.985041,5,3,131,"1,024,814","1,010,220,101",Midtown-Midtown South                                                      ,"251 W 50th St(40.761851, -73.985041)"
Bluechili,2,3,Full Serve,Pan Asian,251 W 51st St,(212) 246-3330,www.bluechilinyc.com,1,10019,40.762477,-73.984586,5,3,131,"1,024,815","1,010,230,005",Midtown-Midtown South                                                      ,"251 W 51st St(40.762477, -73.984586)"
Pergola des Artistes,2,3.5,N/A,French,252 W 46th St,2123027500,pergoladesartistes.com,1,10036,40.759261,-73.986695,5,3,119,"1,024,729","1,010,170,057",Midtown-Midtown South                                                      ,"252 W 46th St(40.759261, -73.986695)"
Trattoria Trecolori,2,4,Full Serve,Italian,254 W 47th St,(212) 997-4540,,1,10036,40.759919,-73.986348,5,3,125,"1,024,746","1,010,180,056",Midtown-Midtown South                                                      ,"254 W 47th St(40.759919, -73.986348)"
Russian Samovar Restaurant,2,4,Full Serve,Russian,256 W 52nd St,(212) 757-0168,,1,10019,40.763111,-73.984192,5,3,131,"1,024,821","1,010,230,059",Midtown-Midtown South                                                      ,"256 W 52nd St(40.763111, -73.984192)"
John's Pizzeria,2,3.5,Full Serve,Pizza,260 W 44th St,(212) 391-7560,www.johnpizzerianyc.com,1,10036,40.758124,-73.987897,5,3,119,"1,024,710","1,010,150,059",Midtown-Midtown South                                                      ,"260 W 44th St(40.758124, -73.987897)"
Just Pies Inc,2,4,Quick Serve,Dessert,260 W 44th St,2127217001,,1,10036,40.758124,-73.987897,5,3,119,"1,024,710","1,010,150,059",Midtown-Midtown South                                                      ,"260 W 44th St(40.758124, -73.987897)"
Sunrise Deli,1,3,Caf_ / Deli,N/A,1441 Broadway,2122216490,,1,10018,40.754707,-73.986753,5,3,113,"1,022,569","1,009,930,055",Midtown-Midtown South                                                      ,"1441 Broadway(40.754707, -73.986753)"
Restaurant Charlotte @ Millennium Broadway Hotel,2,3,Full Serve,American,145 W 44th St,212 789-7508,millenniumbroadway.com,1,10036,40.756667,-73.984396,5,4,119,"1,085,016","1,009,970,010",Midtown-Midtown South                                                      ,"145 W 44th St(40.756667, -73.984396)"
O'Lunney's Times Square Pub,2,4,Full Serve,American,145 W 45th St,212 840-6688,www.olunneys.com,1,10036,40.757336,-73.984017,5,4,119,"1,022,634","1,009,980,012",Midtown-Midtown South                                                      ,"145 W 45th St(40.757336, -73.984017)"
Vacant (Juan Valdez Coffee),1,4,Coffee,N/A,1451 Broadway,212 871-7515,,1,10036,40.755152,-73.986613,5,3,113,"1,086,069","1,009,940,001",Midtown-Midtown South                                                      ,"1451 Broadway(40.755152, -73.986613)"
Abondanza,1,3.5,Caf_ / Deli,N/A,146 W 46th St,(212) 938-1333,,1,10036,40.757948,-73.983598,5,4,119,"1,022,650","1,009,980,054",Midtown-Midtown South                                                      ,"146 W 46th St(40.757948, -73.983598)"
Dervish Turkish Restaurant,2,3.5,Full Serve,Turkish,146 W 47th St,212 997-0070,www.dervishrestaurant.com,1,10036,40.758579,-73.98315,5,4,125,"1,022,670","1,009,990,053",Midtown-Midtown South                                                      ,"146 W 47th St(40.758579, -73.98315)"
"Godiva Chocolatier, Inc.",2,4,Quick Serve,Dessert,1460 Broadway,(212) 840-6758,www.godiva.com,1,10036,40.754998,-73.986284,5,4,113,"1,022,573","1,009,947,504",Midtown-Midtown South                                                      ,"1460 Broadway(40.754998, -73.986284)"
Ranch 1,1,2.5,Quick Serve,Fast Food,141 W 41st St,,http://www.ranch1.com/,1,10036,40.754756,-73.985956,5,4,113,"1,022,574","1,009,940,016",Midtown-Midtown South                                                      ,"141 W 41st St(40.754756, -73.985956)"
Scotts Food Court,1,2.5,Quick Serve,American,141 W 41st St,2127681111,,1,10036,40.754756,-73.985956,5,4,113,"1,022,574","1,009,940,016",Midtown-Midtown South                                                      ,"141 W 41st St(40.754756, -73.985956)"
Tony's Di Napoli,2,4,Full Serve,Italian,147 W 43rd Str,(212) 221-0100,www.tonysnyc.com,1,10036,40.756022,-73.984808,5,4,119,"1,022,611","1,009,960,009",Midtown-Midtown South                                                      ,"147 W 43rd Str(40.756022, -73.984808)"
Bombay Masala Indian Restaurant,3,3,Full Serve,Indian,148 W 49th St,(212) 302-8150,www.bombaymasalany.com,1,10019,40.759847,-73.982294,5,4,125,"1,022,698","1,010,010,157",Midtown-Midtown South                                                      ,"148 W 49th St(40.759847, -73.982294)"
Vacant (former Caf_ Groppi),1,3.5,Caf_ / Deli,N/A,148 W 49th St,(212) 221-0082,,1,10019,40.759847,-73.982294,5,4,125,"1,022,698","1,010,010,157",Midtown-Midtown South                                                      ,"148 W 49th St(40.759847, -73.982294)"
Ruth's Chris Steak House,3,4,Full Serve,Steakhouse,148 W 51st St,212 245-9600,,1,10020,40.761357,-73.981969,5,4,131,"1,022,710","1,010,037,501",Midtown-Midtown South                                                      ,"148 W 51st St(40.761357, -73.981969)"
Rosie O'Grady's Steakhouse,2,4,Full Serve,Steakhouse,149 W 46th St,212 869-0600,www.rosieogradystimessquare.com,1,10036,40.757981,-73.983627,5,4,125,"1,022,664","1,009,990,011",Midtown-Midtown South                                                      ,"149 W 46th St(40.757981, -73.983627)"
Le Marais,3,3,Full Serve,French,150 W 46th St,(212) 869-0900,www.lemarais.net,1,10036,40.757984,-73.983677,5,4,119,"1,022,651","1,009,980,055",Midtown-Midtown South                                                      ,"150 W 46th St(40.757984, -73.983677)"
Langan's Bar & Restaurant,3,4,Full Serve,American,150 W 47th St,(212) 869-5482,www.langans.com,1,10036,40.758612,-73.983233,5,4,125,"1,022,671","1,009,990,054",Midtown-Midtown South                                                      ,"150 W 47th St(40.758612, -73.983233)"
Y & H Grocery,0,0,Caf_ / Deli,N/A,150 W 47th St,(212) 840-1659,,1,10036,40.758612,-73.983233,5,4,125,"1,022,671","1,009,990,054",Midtown-Midtown South                                                      ,"150 W 47th St(40.758612, -73.983233)"
Bella Napoli,2,3.5,Full Serve,Italian,150 W 49th St,(212) 719-2819,,1,10019,40.759867,-73.982334,5,4,125,"1,022,695","1,010,010,058",Midtown-Midtown South                                                      ,"150 W 49th St(40.759867, -73.982334)"
Osteria Al Doge,3,4,Full Serve,Italian,142 W 44th St,(212) 944-3643,www.osteria_doge.com,1,10036,40.756634,-73.984367,5,4,119,"1,022,620","1,009,960,051",Midtown-Midtown South                                                      ,"142 W 44th St(40.756634, -73.984367)"
St. Andrews Restaurant and Bar,2,3.5,Bar / Lounge,N/A,142 W 46th St,(212) 840-8413,www.standrewsnyc.com,1,10036,40.757915,-73.983519,5,4,119,"1,022,659","1,009,980,152",Midtown-Midtown South                                                      ,"142 W 46th St(40.757915, -73.983519)"
Pasta Lovers Trattoria,2,3.5,Full Serve,Italian,142 W 49th St,212 819-1155,www.pastaloversnyc.com,1,10019,40.759798,-73.982172,5,4,125,"1,022,694","1,010,010,055",Midtown-Midtown South                                                      ,"142 W 49th St(40.759798, -73.982172)"
John's Shanghai,2,4,Full Serve,Chinese,144 W 46th St,(212) 869-9183,,1,10036,40.757932,-73.983558,5,4,119,"1,022,649","1,009,980,053",Midtown-Midtown South                                                      ,"144 W 46th St(40.757932, -73.983558)"
Starbucks,1,2.5,Coffee,N/A,1460 Broadway,2122217515,www.starbucks.com,1,10036,40.754998,-73.986284,5,4,113,"1,022,573","1,009,947,504",Midtown-Midtown South                                                      ,"1460 Broadway(40.754998, -73.986284)"
Virgils Real Barbecue,2,3.5,Full Serve,Barbecue,152 W 44th St,(212) 921-9494,www.virgilsbbq.com,1,10036,40.756716,-73.984558,5,4,119,"1,022,621","1,009,960,054",Midtown-Midtown South                                                      ,"152 W 44th St(40.756716, -73.984558)"
Iroha,2,3.5,Full Serve,Japanese,152 W 49th St,212 398-9049,,1,10019,40.759883,-73.982374,5,4,125,"1,022,696","1,010,010,059",Midtown-Midtown South                                                      ,"152 W 49th St(40.759883, -73.982374)"
Sapporo,2,3.5,Full Serve,Japanese,152 W 49th St,212 869-8972,,1,10019,40.759883,-73.982374,5,4,125,"1,022,696","1,010,010,059",Midtown-Midtown South                                                      ,"152 W 49th St(40.759883, -73.982374)"
Europa Cafe,2,3,Caf_ / Deli,N/A,152 W 51st St,(212) 581-0152,www.euorpacafe.com,1,10019,40.761439,-73.982168,5,4,131,"1,022,710","1,010,037,501",Midtown-Midtown South                                                      ,"152 W 51st St(40.761439, -73.982168)"
Bar Americain,3,3.5,Full Serve,American,152 W 52nd St,(212) 265-9700,www.baramerican.com,1,10019,40.762005,-73.981568,5,4,131,"1,023,157","1,010,040,020",Midtown-Midtown South                                                      ,"152 W 52nd St(40.762005, -73.981568)"
Ruby's Diner,2,4,Full Serve,Diner,234 W 42nd St,,www.rubys.com,1,10036,40.756747,-73.988659,5,3,113,"1,024,665","1,010,130,012",Midtown-Midtown South                                                      ,"234 W 42nd St(40.756747, -73.988659)"
Virtigo Cafe Llc,2,2,Caf_ / Deli,N/A,234 W 42nd St,2122219454,,1,10036,40.756747,-73.988659,5,3,113,"1,024,665","1,010,130,012",Midtown-Midtown South                                                      ,"234 W 42nd St(40.756747, -73.988659)"
Aoki,2,3.5,Full Serve,Japanese,234 W 48th St,(212) 956-2355 ,aokinyc.com,1,10036,40.760454,-73.985655,5,3,125,"1,024,764","1,010,190,055",Midtown-Midtown South                                                      ,"234 W 48th St(40.760454, -73.985655)"
Saigon 48,2,3,Full Serve,Vietnamese,234 W 48th St,(212) 247-8669,,1,10036,40.760454,-73.985655,5,3,125,"1,024,764","1,010,190,055",Midtown-Midtown South                                                      ,"234 W 48th St(40.760454, -73.985655)"
Inakaya,3,3.5,Full Serve,Japanese,620 Eighth Ave,(212) 354-2130,,1,10018,40.756039,-73.990651,5,3,113,"1,087,186","1,010,127,501",Midtown-Midtown South                                                      ,"620 Eighth Ave(40.756039, -73.990651)"
Schnipper's Quality Kitchen,2,3.5,Full Serve,American,620 Eighth Ave,(212) 921-2400,http://www.schnippers.com/,1,10018,40.756039,-73.990651,5,3,113,"1,087,186","1,010,127,501",Midtown-Midtown South                                                      ,"620 Eighth Ave(40.756039, -73.990651)"
McDonald's,1,2,Quick Serve,Fast Food,1651 Broadway,2125865530,,1,10019,40.762164,-73.983575,5,3,131,"1,024,817","1,010,230,018",Midtown-Midtown South                                                      ,"1651 Broadway(40.762164, -73.983575)"
Starbucks,1,2.5,Coffee,N/A,1530 Broadway,(212) 391-2079,www.starbucks.com,1,10036,40.757674,-73.985121,5,4,119,"1,022,624","1,009,970,001",Midtown-Midtown South                                                      ,"1530 Broadway(40.757674, -73.985121)"
Sardi's Restaurant,3,3.5,Full Serve,American,234-236 W 44th St,(212) 221-8440,www.sardis.com,1,10036,40.757921,-73.987421,5,3,119,"1,024,707","1,010,150,049",Midtown-Midtown South                                                      ,"234-236 W 44th St(40.757921, -73.987421)"
Dean & Deluca,3,4,Caf_ / Deli,N/A,560 Broadway,(212) 869-6890,www.deandeluca.com,1,10012,40.723909,-73.998048,2,1,43,"1,007,567","1,004,970,018",SoHo-TriBeCa-Civic Center-Little Italy                                     ,"560 Broadway(40.723909, -73.998048)"
Library Bar,3,3.5,Full Serve,American,235 W 46th St,(212) 827-4183,,1,10036,40.759132,-73.986348,5,3,125,"1,024,737","1,010,180,006",Midtown-Midtown South                                                      ,"235 W 46th St(40.759132, -73.986348)"
La Rivista Ristorante,3,3,Full Serve,Italian,313 W 46th St,212-245-1707,www.larivistanyc.com,1,10036,40.760082,-73.98859,4,3,127,"1,025,051","1,010,370,025",Clinton                                                                    ,"313 W 46th St(40.760082, -73.98859)"
Broadway Joe Steakhouse,3,2.5,Full Serve,Steakhouse,315 W 46th St,(212) 246-6513,broadwayjoesteakhouse.com,1,10036,40.760098,-73.988629,4,3,127,"1,075,688","1,010,370,024",Clinton                                                                    ,"315 W 46th St(40.760098, -73.988629)"
Bistecca Fiorentina,3,4,Full Serve,Steakhouse,317 W 46th St,(212) 258-3232,www.bisteccafiorentinanyc.com,1,10036,40.760114,-73.988669,4,3,127,"1,078,871","1,010,370,023",Clinton                                                                    ,"317 W 46th St(40.760114, -73.988669)"
Gourmet New York,2,2.5,Caf_ / Deli,N/A,680 Eighth Ave,,,1,10036,40.757998,-73.989218,5,3,119,"1,024,703","1,010,150,001",Midtown-Midtown South                                                      ,"680 Eighth Ave(40.757998, -73.989218)"
Port Gourmet Deli,1,2.5,Caf_ / Deli,N/A,681 Eighth Ave,(212) 245-3168,,1,10036,40.758007,-73.98924,4,3,121,"1,024,967","1,010,340,029",Clinton                                                                    ,"681 Eighth Ave(40.758007, -73.98924)"
McDonald's,1,2,Quick Serve,Fast Food,220 W 42nd St,2122217664,www.mcdonalds.com,1,10036,40.756412,-73.987858,5,3,113,"1,024,663","1,010,130,042",Midtown-Midtown South                                                      ,"220 W 42nd St(40.756412, -73.987858)"
McDonald's,1,2,Quick Serve,Fast Food,688 Eighth Ave,2122213941,,1,10036,40.758218,-73.989059,5,3,119,"1,024,704","1,010,150,004",Midtown-Midtown South                                                      ,"688 Eighth Ave(40.758218, -73.989059)"
Robert Emmett's Bar & Restaurant,2,2.5,Full Serve,American,694 Eighth Ave,(212) 302-9999,www.robertemmetts.com,1,10036,40.758383,-73.98894,5,3,119,"1,078,853","1,010,150,061",Midtown-Midtown South                                                      ,"694 Eighth Ave(40.758383, -73.98894)"
"1657 Broadway Deli, Ltd.",2,2.5,Caf_ / Deli,N/A,1651-1665 Broadway,2129560099,,1,10019,40.762164,-73.983575,5,3,131,"1,024,817","1,010,230,018",Midtown-Midtown South                                                      ,"1651-1665 Broadway(40.762164, -73.983575)"
Hard Rock Cafe,2,3,Full Serve,American,1501 Broadway,2123433355,www.hardrockcafe.com,1,10036,40.757103,-73.986193,5,3,119,"1,024,706","1,010,150,029",Midtown-Midtown South                                                      ,"1501 Broadway(40.757103, -73.986193)"
Planet Hollywood,2,3,Full Serve,American,1540 Broadway,(212) 333-7827,www.planethollywoodintl.com,1,10036,40.757847,-73.985009,5,4,119,"1,076,844","1,009,987,501",Midtown-Midtown South                                                      ,"1540 Broadway(40.757847, -73.985009)"
B. Smith's Restaurant Row,3,3,Full Serve,American,320 W 46th St,(212) 315-1100,www.bsmith.com,1,10036,40.760136,-73.988759,4,3,121,"1,025,014","1,010,360,041",Clinton                                                                    ,"320 W 46th St(40.760136, -73.988759)"
Orso,3,4,Full Serve,Italian,322 W 46th St,212-489-7212,www.orsorestaurant.com,1,10036,40.760153,-73.988803,4,3,121,"1,025,032","1,010,360,142",Clinton                                                                    ,"322 W 46th St(40.760153, -73.988803)"
Joe Allen,2,4,Full Serve,American,326 W 46th St,(212) 581-6464,www.joeallenrestaurant.com,1,10036,40.760186,-73.988882,4,3,121,"1,025,016","1,010,360,044",Clinton                                                                    ,"326 W 46th St(40.760186, -73.988882)"
O'Flaherty's Ale House & Restaurant,2,3,Full Serve,American,334 W 46th St,(212) 581-9366,www.oflahertynyc.com,1,10036,40.760254,-73.989045,4,3,121,"1,025,018","1,010,360,047",Clinton                                                                    ,"334 W 46th St(40.760254, -73.989045)"
Sangria 46,2,3.5,Full Serve,Spanish,338 W 46th St,212-581-8482,www.sangria46.com,1,10036,40.76029,-73.989124,4,3,121,"1,082,452","1,010,360,149",Clinton                                                                    ,"338 W 46th St(40.76029, -73.989124)"
Le Rivage,3,3.5,Full Serve,French,340 W 46th St,(212) 765-7374,www.lerivagenyc.com,1,10036,40.760307,-73.989167,4,3,121,"1,025,020","1,010,360,049",Clinton                                                                    ,"340 W 46th St(40.760307, -73.989167)"
Da Rosina Ristorante Italiano,2,3,Full Serve,Italian,342 W 46th St,(212) 977-7373,www.darosina.com,1,10036,40.760323,-73.989207,4,3,121,"1,025,021","1,010,360,050",Clinton                                                                    ,"342 W 46th St(40.760323, -73.989207)"
EZ Deli and NY Nail Land,1,4,Caf_ / Deli,N/A,1625 Broadway,(212) 333-5650,,1,10019,40.761223,-73.984207,5,3,125,"1,024,801","1,010,210,043",Midtown-Midtown South                                                      ,"1625 Broadway(40.761223, -73.984207)"
Dunkin' Donuts,1,3.5,Coffee,N/A,210 W 50th St,(212) 757-4617,,1,10019,40.76156,-73.984395,5,3,125,"1,024,802","1,010,210,045",Midtown-Midtown South                                                      ,"210 W 50th St(40.76156, -73.984395)"
Famous Famiglia Pizzeria,1,3.5,Quick Serve,Pizza,1630 Broadway,(212) 333-4646,www.famousfamiglia.com,1,10019,40.761327,-73.984106,5,4,125,"1,024,799","1,010,210,037",Midtown-Midtown South                                                      ,"1630 Broadway(40.761327, -73.984106)"
Italia Mia Pizza,2,3.5,Full Serve,Pizza,1674 Broadway,(212) 265-1414,,1,10019,40.762861,-73.983109,5,4,131,"1,024,831","1,010,240,131",Midtown-Midtown South                                                      ,"1674 Broadway(40.762861, -73.983109)"
Club House Caf_,2,3.5,Full Serve,Spanish,155 W 46th St,(212) 354-3838,,1,10036,40.758031,-73.983746,5,4,125,"1,022,662","1,009,990,008",Midtown-Midtown South                                                      ,"155 W 46th St(40.758031, -73.983746)"
Le Marais,3,3,Full Serve,American,155 W 46th St,2128690900,www.lemarais.net,1,10036,40.758031,-73.983746,5,4,125,"1,022,662","1,009,990,008",Midtown-Midtown South                                                      ,"155 W 46th St(40.758031, -73.983746)"
TGI Friday's,2,2,Full Serve,American,1552 Broadway,2129447352,www.fridays.com,1,10036,40.758665,-73.984977,5,4,125,"1,022,660","1,009,990,001",Midtown-Midtown South                                                      ,"1552 Broadway(40.758665, -73.984977)"
Meson Sevilla Ristorante,2,3.5,Full Serve,Spanish,344 W 46th St,(212) 262-5890,mesonsevilla.com,1,10036,40.760342,-73.989247,4,3,121,"1,025,022","1,010,360,051",Clinton                                                                    ,"344 W 46th St(40.760342, -73.989247)"
Danny's Grand Sea Palace,2,4,Full Serve,Seafood,346 W 46th St,(212) 265-8130,,1,10036,40.760359,-73.989286,4,3,121,"1,080,885","1,010,360,052",Clinton                                                                    ,"346 W 46th St(40.760359, -73.989286)"
Sushi of Gari,4,4,Full Serve,Japanese,347 W 46th St,(212) 957-0046,www.sushiofgari.com,1,10036,40.760373,-73.989276,4,3,127,"1,025,048","1,010,370,012",Clinton                                                                    ,"347 W 46th St(40.760373, -73.989276)"
Swing 46 Jazz and Supper Club,3,3.5,Full Serve,American,349 W 46th St,(212) 262-9554,www.swing46.com,1,10036,40.760392,-73.989315,4,3,127,"1,025,047","1,010,370,010",Clinton                                                                    ,"349 W 46th St(40.760392, -73.989315)"
Bourbon Street Bar & Grille,2,3.5,Full Serve,Cajun,346 W 46th St,(212) 245-2030,www.bourbonny.com,1,10036,40.760359,-73.989286,4,3,121,"1,080,885","1,010,360,052",Clinton                                                                    ,"346 W 46th St(40.760359, -73.989286)"
Ocha Sushi,2,3.5,Full Serve,Japanese,350 W 46th St,2125813198,,1,10036,40.760395,-73.989369,4,3,121,"1,025,023","1,010,360,053",Clinton                                                                    ,"350 W 46th St(40.760395, -73.989369)"
